فين رجالتهم 	1	0	0	NEG	
ضب 	4845	0.015277949127	0.0435535486012	NEG	
كريه 	5680	0.00792956758778	0.0507554643394	NEG	
غبي 	2199	0.00267359494077	0.0423761973108	NEG	
رب 	188927	0.0696941471925	0.0594322541677	POS	
المتناكه 	384	-0.0314490738648	0.0518802513835	NEG	
مسليه 	265	0.0383937250388	0.015604286338	POS	
برجوازي متسلق 	0	0	0	NEG	
قطري 	1555	0.022136107656	0.0350241603761	NEG	
جحلوط 	6	-0.0164270827968	0.0443438702106	NEG	
عسليه 	344	0.0459042049594	0.00940841567306	POS	
عيل نكسجي حمار 	0	0	0	NEG	
ارهابيين 	2017	-0.00896177645049	0.0535327103767	NEG	
محترمه 	666	0.0341340950498	0.0234138059449	POS	
شايف نفسه 	636	0.0232005229526	0.0227466359634	POS	
الحيوان 	2010	0.00587747861581	0.0445052743034	NEG	
شخصيه بضان 	2	0	0.0445052743034	NEG	
شخص متناك 	0	0	0	NEG	
كبير 	21963	0.0485996351243	0.0351048268369	POS	
خروف 	5522	0.038162684679	0.0307349838411	POS	
صعيديه الجدعه	0	0	0	NEG	
داهيه 	2310	0.00332257824196	0.0466131589434	NEG	
صحرا 	638	0.0287475403733	0.0264394146236	POS	
بنت وسخه 	567	-0.0120391746801	0.0459356470205	NEG	
ذوقه حلو 	0	0	0	NEG	
وراه سر 	25	0.0100925718635	0.0220287838447	NEG	
؟؟ لا 	0	0	0	NEG	
متناك 	45	-0.0374094663341	0.0458900636947	NEG	
عقدت ناس 	0	0	0	NEG	
مريض 	2438	0.019481489501	0.034908715243	NEG	
مُتعب 	414	0.0423796591303	0.0190418173172	POS	
نسخ 	2924	0.0524120079784	0.0164801569242	POS	
وسخ 	1132	-0.0143045955791	0.0474536817895	NEG	
وشها جامد 	1	0	0.0474536817895	NEG	
سخنه 	597	0.0148946884436	0.0372752877448	NEG	
استغلالي 	19	0.00214156863964	0.0242906779856	NEG	
حلو 	5400	0.0494177623558	0.0244452709683	POS	
فلقتين 	24	-0.00633510502611	0.022030499666	NEG	
شمال 	9559	0.0377713015317	0.0410478556684	NEG	
مؤمن 	2294	0.025609180463	0.0230703472916	POS	
لباس 	4004	0.0535264239156	0.0198820316611	POS	
شكلها جدعه 	5	0.0446409585523	0.00684109596024	POS	
قيوم 	1457	0.0372329224495	0.0138949656413	POS	
غبى 	22	-0.0374255673083	0.0396659598318	NEG	
مجتمع 	14277	0.0213309270593	0.0469332094424	NEG	
جميل 	9370	0.0678000848972	0.0104101579428	POS	
قحبه 	4182	-0.0677798721788	0.0710030912626	NEG	
هيجننوني 	13	0.0123921534178	0.0365502536227	NEG	
شيعي 	5671	0.00680500970459	0.0488485527704	NEG	
اغبيه 	447	0.0138152725982	0.0330711254218	NEG	
مش هيقعد 	2	0	0.0330711254218	NEG	
راجل هايف 	0	0	0	NEG	
عبيط 	454	-0.0128619428824	0.0437396637775	NEG	
تتكلميش 	47	0.0224926039794	0.0244006113143	NEG	
وسم 	8764	0.0506712111408	0.0261422718477	POS	
زانيه 	2071	0.0235685297394	0.0380516883226	NEG	
مركز 	13335	0.0514600159697	0.0344679032759	POS	
عيل حافي وجعان 	0	0	0	NEG	
فاسق 	233	-0.0172122197205	0.0442140439452	NEG	
لاسع	3455	0.0323857670137	0.0365008723699	NEG	
عزيز 	10611	0.0650175553697	0.0158821829387	POS	
عيال هبله 	0	0	0	NEG	
هتخرج 	222	0.0332460510668	0.0252955417145	POS	
بحبها 	95	0.0368687374196	0.0186629261294	POS	
متخلف 	718	0.000930320031677	0.0413257881358	NEG	
حاد 	23079	0.0464623813796	0.038409605685	POS	
عادي 	30851	0.0454131902764	0.0444156674807	POS	
كنت بحبه 	0	0	0	NEG	
اتبهدل 	21	-0.00269754397474	0.0409403452215	NEG	
معجبه 	1450	0.0583631441248	0.00793715046962	POS	
اتشحور 	5	-0.00818996030881	0.0416073463782	NEG	
مضحك 	677	0.00813426288132	0.0371750500736	NEG	
احبه 	14159	0.0494397550228	0.0323573834059	POS	
الوسخه 	2492	-0.0203311159491	0.0575931130742	NEG	
ناجح 	750	0.0319876799754	-0.00187268884529	POS	
الكلب 	7169	-0.00525274764225	0.0573554365955	NEG	
حنينه قوي 	0	0	0	NEG	
مز 	6237	0.0334664912354	0.0345251723765	NEG	
مفيد 	1132	0.0539750170046	0.0148421836278	POS	
جاهل 	4009	0.0190780420251	0.0394026670336	NEG	
احا 	3606	0.0243248670286	0.0381402072979	NEG	
خول 	7055	0.0181321823351	0.0466495233404	NEG	
مورد بلطجيه 	0	0	0	NEG	
ملك ياسلام 	1	0	0	NEG	
مهندس 	2690	0.0436990563642	0.0217117963045	POS	
في الخيانه 	31	0.019284897744	0.025156945632	NEG	
دماغها 	682	0.0211217927942	0.0333597881802	NEG	
الخروفه 	2	0.0148886778233	-0.00170510103522	POS	
